method,method_label,point,node,depth,fresh_risk,fresh_failures,fresh_particles,fresh_cost,fresh_cost_normalized,construction_risk,construction_cost,construction_cost_normalized,animation_seed,animation_particles,gif
target_sst,Target-only SMO-SST,16,202013,10,0.353759765625,1449,4096,94.66678070465309,0.2253970969158407,0.33203125,94.67402495626921,0.2254143451339743,741762266,16,target_sst/point-16.gif
target_sst,Target-only SMO-SST,17,106156,13,1.0,4096,4096,92.75047002876828,0.22083445244944827,1.0,92.72657361518738,0.2207775562266366,4268731298,16,target_sst/point-17.gif
reactive_rrt,Reactive SMO-RRT,0,75241,13,0.000244140625,1,4096,131.58572746104954,0.313299351097737,0.0,131.5664954157939,0.313253560513795,1381105884,16,reactive_rrt/point-00.gif
reactive_rrt,Reactive SMO-RRT,1,314430,14,0.019775390625,81,4096,130.59284389041196,0.31093534259621897,0.01171875,130.73757206555658,0.3112799334894204,118589545,16,reactive_rrt/point-01.gif
reactive_rrt,Reactive SMO-RRT,2,312330,14,0.03076171875,126,4096,129.01942918578894,0.3071891171090213,0.015625,129.00126520103794,0.3071458695262808,2583947290,16,reactive_rrt/point-02.gif
reactive_rrt,Reactive SMO-RRT,3,278160,12,0.122802734375,503,4096,128.22742117491975,0.3053033837498089,0.09765625,128.262957189659,0.3053879933087119,1615093860,16,reactive_rrt/point-03.gif
reactive_rrt,Reactive SMO-RRT,4,441547,13,0.1181640625,484,4096,127.48846500801658,0.30354396430480135,0.1015625,127.55681467993115,0.3037067016188837,3884717381,16,reactive_rrt/point-04.gif
reactive_rrt,Reactive SMO-RRT,5,143888,12,0.171630859375,703,4096,127.6777621445535,0.3039946717727464,0.12109375,127.50613715430904,0.303586040843593,33906309,16,reactive_rrt/point-05.gif
reactive_rrt,Reactive SMO-RRT,6,492681,14,0.14599609375,598,4096,126.70178359151967,0.30167091331314205,0.16796875,126.65596485714546,0.3015618210884416,4206854033,16,reactive_rrt/point-06.gif
reactive_rrt,Reactive SMO-RRT,7,219687,13,0.649169921875,2659,4096,126.36679706003648,0.3008733263334202,0.6796875,126.53134508438544,0.3012651073437749,3596792701,16,reactive_rrt/point-07.gif
reactive_rrt,Reactive SMO-RRT,8,309442,13,0.803955078125,3293,4096,124.47033993904515,0.2963579522358218,0.8046875,124.67559315121025,0.2968466503600244,622600934,16,reactive_rrt/point-08.gif
reactive_rrt,Reactive SMO-RRT,9,358092,17,0.85205078125,3490,4096,117.15248776209758,0.2789344946716609,0.875,117.53239017012518,0.2798390242145838,1272269195,16,reactive_rrt/point-09.gif
reactive_rrt,Reactive SMO-RRT,10,452047,14,1.0,4096,4096,116.22084568607426,0.27671629925255775,1.0,116.20801019213401,0.2766857385527,2388921562,16,reactive_rrt/point-10.gif
target_rrt,Target-only SMO-RRT,0,465900,9,0.0029296875,12,4096,136.1015722632091,0.3240513625314503,0.0,136.06485280199888,0.3239639352428545,1381105884,16,target_rrt/point-00.gif
target_rrt,Target-only SMO-RRT,1,127814,15,0.0048828125,20,4096,133.5554815961424,0.3179892418955772,0.00390625,133.615159832907,0.3181313329354929,118589545,16,target_rrt/point-01.gif
target_rrt,Target-only SMO-RRT,2,153265,14,0.012939453125,53,4096,132.08093294225293,0.3144784117672689,0.0078125,132.09353472664128,0.3145084160158126,2583947290,16,target_rrt/point-02.gif
target_rrt,Target-only SMO-RRT,3,351854,15,0.031494140625,129,4096,131.54129783370695,0.3131935662707308,0.0234375,131.42312182336343,0.31291219481753196,1615093860,16,target_rrt/point-03.gif
target_rrt,Target-only SMO-RRT,4,314430,14,0.0546875,224,4096,130.00244240047337,0.3095296247630318,0.03125,130.08990005048275,0.3097378572630542,3884717381,16,target_rrt/point-04.gif
target_rrt,Target-only SMO-RRT,5,111378,15,0.05419921875,222,4096,128.74096196780326,0.30652609992334107,0.03515625,128.87199552416436,0.3068380845813437,33906309,16,target_rrt/point-05.gif
target_rrt,Target-only SMO-RRT,6,228382,16,0.058349609375,239,4096,128.38779791727148,0.3056852331363607,0.0390625,128.52733297071808,0.30601745945409065,4206854033,16,target_rrt/point-06.gif
target_rrt,Target-only SMO-RRT,7,13348,11,0.100830078125,413,4096,127.82207559954378,0.304338275237009,0.06640625,127.73473498366545,0.30413032138967966,3596792701,16,target_rrt/point-07.gif
target_rrt,Target-only SMO-RRT,8,87309,15,0.107666015625,441,4096,126.95339607348868,0.3022699906511635,0.09375,126.98374524477944,0.30234225058280817,622600934,16,target_rrt/point-08.gif
target_rrt,Target-only SMO-RRT,9,312330,14,0.11572265625,474,4096,125.67948777532607,0.29923687565553825,0.11328125,125.80290324473418,0.29953072201127184,1272269195,16,target_rrt/point-09.gif
target_rrt,Target-only SMO-RRT,10,352897,17,0.287353515625,1177,4096,124.5416415922906,0.2965277180768824,0.28515625,124.74009336746865,0.29700022230349676,2388921562,16,target_rrt/point-10.gif
target_rrt,Target-only SMO-RRT,11,346531,13,0.92236328125,3778,4096,124.89301815067624,0.2973643289301815,0.9296875,124.69194757280799,0.2968855894590666,894475089,16,target_rrt/point-11.gif
target_rrt,Target-only SMO-RRT,12,309442,13,0.970703125,3976,4096,119.36505626765123,0.2842025149229791,0.96484375,119.36049566500499,0.28419165634524995,2576103114,16,target_rrt/point-12.gif
target_rrt,Target-only SMO-RRT,13,358092,17,1.0,4096,4096,109.81800328169594,0.2614714363849903,1.0,109.97464972950641,0.2618444041178724,216874746,16,target_rrt/point-13.gif
