delta_w,environments,rollout_threads,nhv_mean,nhv_ci_low,nhv_ci_high,evaluation_nhv_mean,evaluation_nhv_ci_low,evaluation_nhv_ci_high,nodes_mean,nodes_ci_low,nodes_ci_high,iterations_per_second_mean,iterations_per_second_ci_low,iterations_per_second_ci_high
0.00625,5,16,0.7062447602300908,0.7005258935047743,0.7113982670258155,0.7048307037007749,0.6993886180773202,0.7102727893242295,146685.4,144614.4,148027.4,2369.2764960796367,2272.7945004723015,2463.827721535398
0.0125,5,16,0.7088451718312505,0.7042130235651651,0.716258398003837,0.7058636455667997,0.7013177152031477,0.7123944924808518,143746.6,141790.0,146669.8,2140.9684034961933,2072.051050735528,2214.4194025130982
0.025,5,16,0.7067393174427974,0.6965393401749992,0.7169392947105957,0.7060340673559432,0.6944205522389535,0.7158491555276761,126433.8,118440.80000000002,137492.4,2019.1441476082466,1961.0413283085113,2142.345354830497
0.05,5,16,0.7334999104618161,0.7225286698594321,0.7444711510642004,0.7297839501049477,0.7185147841046682,0.7402796189471614,37650.8,24367.2,51969.59999999999,2117.637595210759,2003.136685115211,2181.042375573191
0.1,5,16,0.7636899047907433,0.7602918218697529,0.7658972487426613,0.7619190190059456,0.7578046356989989,0.764464364871438,2920.6,2610.4,3186.2,1610.543103115067,1484.9617990597606,1800.951186288425
0.25,5,16,0.768501965797532,0.7658535509544884,0.7714603869792616,0.7664395266048935,0.7620819129323543,0.7705974378756828,882.0,845.4,932.4,1563.9869354172338,1281.0210950133987,2003.911957933796
0.5,5,16,0.7693633220285108,0.7650253749972439,0.7722459089187284,0.7680287222959146,0.7643825938500721,0.7712779106523933,514.2,456.6,588.0,2648.809103062588,2585.0097151058085,2711.4005913218803
1.0,5,16,0.7647035302502142,0.7545516246258656,0.7726120592569166,0.7609911501242933,0.7504928764823753,0.7700625525746709,320.0,196.8,426.4,2743.811884845549,2610.360538569127,2905.967675022353
